Height,beta_mol,beta_aer,beta_total,alpha_aer,alpha_mol
4815.0,1.1493672658867737e-17,3.38753387532726e-06,3.387533875338754e-06,0.0002032520325196356,9.628916690097265e-17
4822.5,1.1484235205090185e-17,3.3978933061387023e-06,3.3978933061501863e-06,0.00020387359836832213,9.621010387308959e-17
4830.0,1.1474803821174247e-17,3.4083162917404e-06,3.4083162917518747e-06,0.00020449897750442398,9.613109169596026e-17
4837.5,1.1465378509282549e-17,3.4188034187919535e-06,3.418803418803419e-06,0.00020512820512751722,9.605213038770226e-17
4845.0,1.1455959271580222e-17,3.429355281195677e-06,3.429355281207133e-06,0.00020576131687174062,9.597321996645413e-17
4852.5,1.1446546110234935e-17,3.4399724802087117e-06,3.439972480220158e-06,0.0002063983488125227,9.589436045037571e-17
4860.0,1.1437139027416864e-17,3.4506556245572314e-06,3.4506556245686685e-06,0.0002070393374734339,9.58155518576478e-17
4867.5,1.1427738025298715e-17,3.4614053305527814e-06,3.461405330564209e-06,0.0002076843198331669,9.573679420647245e-17
4875.0,1.141834310605572e-17,3.472222222210803e-06,3.4722222222222215e-06,0.00020833333333264819,9.565808751507282e-17
4882.5,1.140895427186563e-17,3.4831069313713846e-06,3.4831069313827937e-06,0.00020898641588228307,9.55794318016932e-17
4890.0,1.1399571524908747e-17,3.4940600978222836e-06,3.494060097833683e-06,0.000209643605869337,9.550082708459923e-17
4897.5,1.1390194867367901e-17,3.5050823694242915e-06,3.5050823694356816e-06,0.0002103049421654575,9.542227338207777e-17
4905.0,1.1380824301428449e-17,3.516174402238971e-06,3.5161744022503516e-06,0.00021097046413433824,9.534377071243681e-17
4912.5,1.1371459829278301e-17,3.5273368606588226e-06,3.527336860670194e-06,0.00021164021163952936,9.526531909400573e-17
4920.0,1.13621014531079e-17,3.538570417539947e-06,3.5385704175513092e-06,0.00021231422505239682,9.518691854513518e-17
4927.5,1.1352749175110246e-17,3.5498757543372453e-06,3.549875754348598e-06,0.00021299254526023473,9.510856908419714e-17
4935.0,1.1343402997480878e-17,3.561253561242218e-06,3.5612535612535615e-06,0.0002136752136745331,9.503027072958497e-17
4942.5,1.1334062922417893e-17,3.572704537323428e-06,3.572704537334762e-06,0.0002143622722394057,9.495202349971337e-17
4950.0,1.1324728952121939e-17,3.584229390669679e-06,3.584229390681004e-06,0.00021505376344018075,9.487382741301844e-17
4957.5,1.1315401088796227e-17,3.5958288385359696e-06,3.595828838547285e-06,0.00021574973031215818,9.479568248795779e-17
4965.0,1.130607933464651e-17,3.6075036074923013e-06,3.6075036075036075e-06,0.00021645021644953806,9.471758874301027e-17
4972.5,1.1296763691881123e-17,3.6192544335753844e-06,3.6192544335866813e-06,0.00021715526601452306,9.463954619667638e-17
4980.0,1.128745416271096e-17,3.631082062443324e-06,3.6310820624546117e-06,0.00021786492374659944,9.456155486747808e-17
4987.5,1.1278150749349484e-17,3.642987249533349e-06,3.6429872495446273e-06,0.00021857923497200094,9.448361477395881e-17
4995.0,1.1268853454012725e-17,3.6549707602226485e-06,3.6549707602339174e-06,0.0002192982456133589,9.440572593468358e-17
5002.5,1.1259562278919287e-17,3.667033369992408e-06,3.6670333700036676e-06,0.00022002200219954448,9.432788836823887e-17
5010.0,1.1250277226290362e-17,3.6791758645950783e-06,3.6791758646063286e-06,0.0002207505518757047,9.425010209323294e-17
5017.5,1.1240998298349696e-17,3.6913990402250078e-06,3.6913990402362488e-06,0.00022148394241350048,9.417236712829539e-17
5025.0,1.1231725497323648e-17,3.7037037036924725e-06,3.703703703703704e-06,0.00022222222222154835,9.40946834920777e-17
5032.5,1.1222458825441141e-17,3.71609067260119e-06,3.7160906726124124e-06,0.0002229654403560714,9.401705120325287e-17
5040.0,1.1213198284933694e-17,3.7285607755294285e-06,3.7285607755406415e-06,0.0002237136465317657,9.393947028051562e-17
5047.5,1.1203943878035407e-17,3.7411148522147594e-06,3.7411148522259636e-06,0.00022446689113288557,9.386194074258232e-17
5055.0,1.1194695606982998e-17,3.753753753742559e-06,3.7537537537537537e-06,0.00022522522522455354,9.378446260819124e-17
5062.5,1.1185453474015749e-17,3.7664783427383436e-06,3.766478342749529e-06,0.00022598870056430063,9.370703589610215e-17
5070.0,1.1176217481375562e-17,3.779289493564032e-06,3.779289493575208e-06,0.0002267573696138419,9.362966062509675e-17
5077.5,1.1166987631306936e-17,3.792188092518223e-06,3.79218809252939e-06,0.00022753128555109338,9.355233681397854e-17
5085.0,1.1157763926056973e-17,3.805175038040592e-06,3.8051750380517498e-06,0.00022831050228243552,9.347506448157278e-17
5092.5,1.1148546367875388e-17,3.818251240920505e-06,3.818251240931654e-06,0.0002290950744552303,9.339784364672664e-17
5100.0,1.1139334959014501e-17,3.831417624509934e-06,3.831417624521073e-06,0.00022988505747059603,9.33206743283091e-17
5107.5,1.1130129701729237e-17,3.844675124940812e-06,3.844675124951942e-06,0.0002306805074964487,9.324355654521099e-17
5115.0,1.1120930598277166e-17,3.858024691346903e-06,3.858024691358024e-06,0.0002314814814808142,9.316649031634529e-17
5122.5,1.1111737650918444e-17,3.871467286090321e-06,3.8714672861014324e-06,0.00023228803716541927,9.308947566064662e-17
5130.0,1.1102550861915873e-17,3.885003884992781e-06,3.885003885003884e-06,0.00023310023309956688,9.301251259707181e-17
5137.5,1.109337023353486e-17,3.8986354775717516e-06,3.898635477582845e-06,0.0002339181286543051,9.293560114459947e-17
5145.0,1.1084195768043458e-17,3.9123630672815605e-06,3.912363067292645e-06,0.00023474178403689363,9.285874132223041e-17
5152.5,1.1075027467712339e-17,3.926187671759635e-06,3.92618767177071e-06,0.0002355712603055781,9.278193314898734e-17
5160.0,1.1065865334814813e-17,3.9401103230779804e-06,3.940110323089046e-06,0.00023640661938467884,9.270517664391512e-17
5167.5,1.1056709371626828e-17,3.954132068000014e-06,3.9541320680110706e-06,0.00023724792408000086,9.26284718260807e-17
5175.0,1.1047559580426967e-17,3.968253968242919e-06,3.968253968253967e-06,0.00023809523809457516,9.255181871457306e-17
5182.5,1.1038415963496453e-17,3.982477100745632e-06,3.9824771007566706e-06,0.00023894862604473792,9.247521732850334e-17
5190.0,1.1029278523119163e-17,3.996802557942608e-06,3.996802557953637e-06,0.0002398081534765565,9.239866768700491e-17
5197.5,1.102014726158162e-17,4.011231448043534e-06,4.0112314480545535e-06,0.000240673886882612,9.232216980923331e-17
5205.0,1.1011022181172989e-17,4.025764895319101e-06,4.025764895330112e-06,0.00024154589371914604,9.224572371436618e-17
5212.5,1.1001903284185094e-17,4.040404040393038e-06,4.04040404040404e-06,0.0002424242424235823,9.216932942160349e-17
5220.0,1.0992790572912418e-17,4.055150040540508e-06,4.0551500405515e-06,0.00024330900243243046,9.209298695016743e-17
5227.5,1.0983684049652113e-17,4.070004069993086e-06,4.07000407000407e-06,0.00024420024419958517,9.201669631930257e-17
5235.0,1.0974583716703965e-17,4.0849673202504625e-06,4.0849673202614375e-06,0.0002450980392150277,9.194045754827558e-17
5242.5,1.0965489576370458e-17,4.100041000399038e-06,4.100041000410004e-06,0.00024600246002394227,9.186427065637568e-17
5250.0,1.0956401630956722e-17,4.115226337437604e-06,4.11522633744856e-06,0.00024691358024625623,9.178813566291429e-17
5257.5,1.0947319882770567e-17,4.130524576610284e-06,4.130524576621231e-06,0.000247831474596617,9.171205258722529e-17
5265.0,1.093824433412248e-17,4.145936981746939e-06,4.145936981757877e-06,0.00024875621890481635,9.163602144866495e-17
5272.5,1.0929174987325622e-17,4.161464835611209e-06,4.161464835622138e-06,0.00024968789013667255,9.156004226661197e-17
5280.0,1.0920111844695829e-17,4.177109440256414e-06,4.177109440267334e-06,0.00025062656641538486,9.148411506046745e-17
5287.5,1.0911054908551629e-17,4.192872117389509e-06,4.192872117400419e-06,0.0002515723270433705,9.140823984965505e-17
5295.0,1.0902004181214231e-17,4.208754208743307e-06,4.208754208754209e-06,0.0002525252525245984,9.133241665362089e-17
5302.5,1.0892959665007539e-17,4.22475707645721e-06,4.224757076468103e-06,0.0002534854245874326,9.125664549183364e-17
5310.0,1.0883921362258141e-17,4.24088210346664e-06,4.240882103477524e-06,0.0002544529262079984,9.11809263837845e-17
5317.5,1.0874889275295321e-17,4.257130693901428e-06,4.257130693912303e-06,0.0002554278416340857,9.110525934898722e-17
5325.0,1.086586340645107e-17,4.273504273493408e-06,4.273504273504274e-06,0.0002564102564096045,9.102964440697825e-17
5332.5,1.0856843758060071e-17,4.2900042899934335e-06,4.29000429000429e-06,0.000257400257399606,9.095408157731658e-17
5340.0,1.0847830332459716e-17,4.306632213598109e-06,4.306632213608957e-06,0.00025839793281588655,9.087857087958391e-17
5347.5,1.0838823131990101e-17,4.323389537386482e-06,4.323389537397321e-06,0.0002594033722431889,9.080311233338456e-17
5355.0,1.0829822158994026e-17,4.3402777777669485e-06,4.340277777777779e-06,0.0002604166666660169,9.072770595834555e-17
5362.5,1.0820827415817024e-17,4.357298474934713e-06,4.3572984749455335e-06,0.0002614379084960828,9.065235177411677e-17
5370.0,1.0811838904807322e-17,4.37445319334002e-06,4.374453193350832e-06,0.00026246719160040124,9.057704980037065e-17
5377.5,1.0802856628315876e-17,4.3917435221675015e-06,4.391743522178305e-06,0.0002635046113300501,9.050180005680255e-17
5385.0,1.079388058869637e-17,4.409171075826948e-06,4.409171075837742e-06,0.0002645502645496169,9.042660256313062e-17
5392.5,1.0784910788305194e-17,4.426737494455793e-06,4.426737494466578e-06,0.0002656042496673476,9.035145733909573e-17
5400.0,1.0775947229501487e-17,4.444444444433668e-06,4.444444444444444e-06,0.0002666666666660201,9.027636440446173e-17
5407.5,1.0766989914647111e-17,4.462293618909358e-06,4.462293618920124e-06,0.00026773761713456143,9.020132377901535e-17
5415.0,1.0758038846106654e-17,4.480286738340497e-06,4.480286738351255e-06,0.00026881720430042984,9.012633548256608e-17
5422.5,1.074909402624746e-17,4.498425551046381e-06,4.49842555105713e-06,0.00026990553306278285,9.005139953494653e-17
5430.0,1.074015545743959e-17,4.516711833774265e-06,4.516711833785005e-06,0.0002710027100264559,8.99765159560121e-17
5437.5,1.0731223142055862e-17,4.535147392279519e-06,4.53514739229025e-06,0.00027210884353677116,8.990168476564125e-17
5445.0,1.0722297082471844e-17,4.553734061920061e-06,4.553734061930783e-06,0.00027322404371520363,8.982690598373551e-17
5452.5,1.0713377281065844e-17,4.572473708265464e-06,4.572473708276177e-06,0.00027434842249592783,8.975217963021932e-17
5460.0,1.0704463740218928e-17,4.5913682277211594e-06,4.591368227731864e-06,0.0002754820936632696,8.967750572504027e-17
5467.5,1.0695556462314914e-17,4.6104195481681895e-06,4.610419548178885e-06,0.00027662517289009136,8.960288428816897e-17
5475.0,1.0686655449740379e-17,4.629629629618942e-06,4.629629629629629e-06,0.0002777777777771365,8.952831533959919e-17
5482.5,1.067776070488466e-17,4.649000464889368e-06,4.649000464900046e-06,0.0002789400278933621,8.945379889934777e-17
5490.0,1.0668872230139866e-17,4.668534080288117e-06,4.668534080298786e-06,0.000280112044817287,8.937933498745481e-17
5497.5,1.0659990027900868e-17,4.688232536323143e-06,4.688232536333803e-06,0.00028129395217938856,8.93049236239835e-17
5505.0,1.0651114100565307e-17,4.70809792842626e-06,4.7080979284369114e-06,0.0002824858757055756,8.923056482902032e-17
5512.5,1.06422444505336e-17,4.728132387696213e-06,4.728132387706855e-06,0.0002836879432617728,8.915625862267493e-17
5520.0,1.0633381080208945e-17,4.748338081660782e-06,4.748338081671415e-06,0.0002849002848996469,8.908200502508031e-17
5527.5,1.0624523991997308e-17,4.7687172150585216e-06,4.768717215069146e-06,0.0002861230329035113,8.900780405639264e-17
5535.0,1.0615673188307451e-17,4.789272030640724e-06,4.78927203065134e-06,0.00028735632183844343,8.893365573679153e-17
5542.5,1.0606828671550914e-17,4.810004809994203e-06,4.8100048100048094e-06,0.0002886002885996522,8.885956008647982e-17
5550.0,1.0597990444142028e-17,4.830917874385538e-06,4.830917874396136e-06,0.0002898550724631323,8.878551712568379e-17
5557.5,1.0589158508497926e-17,4.8520135856274514e-06,4.85201358563804e-06,0.00029112081513764707,8.871152687465315e-17
5565.0,1.0580332867038522e-17,4.8732943469679766e-06,4.873294346978557e-06,0.0002923976608180786,8.863758935366094e-17
5572.5,1.0571513522186533e-17,4.894762604003134e-06,4.894762604013705e-06,0.000293685756240188,8.856370458300364e-17
5580.0,1.0562700476367486e-17,4.916420845613824e-06,4.916420845624386e-06,0.0002949852507368294,8.848987258300133e-17
5587.5,1.0553893732009705e-17,4.938271604927718e-06,4.938271604938272e-06,0.00029629629629566306,8.841609337399748e-17
5595.0,1.0545093291544324e-17,4.960317460306916e-06,4.96031746031746e-06,0.00029761904761841496,8.834236697635909e-17
5602.5,1.053629915740529e-17,4.982561036362159e-06,4.982561036372695e-06,0.00029895366218172956,8.826869341047676e-17
5610.0,1.0527511332029362e-17,5.005005004994478e-06,5.005005005005006e-06,0.0003003003002996687,8.819507269676463e-17
5617.5,1.0518729817856112e-17,5.0276520864650975e-06,5.027652086475616e-06,0.00030165912518790585,8.812150485566043e-17
5625.0,1.0509954617327953e-17,5.05050505049454e-06,5.05050505050505e-06,0.0003030303030296724,8.804798990762566e-17
5632.5,1.0501185732890093e-17,5.073566717391831e-06,5.0735667174023325e-06,0.00030441400304350986,8.797452787314524e-17
5640.0,1.0492423166990585e-17,5.096839959214788e-06,5.09683995922528e-06,0.00030581039755288726,8.790111877272793e-17
5647.5,1.0483666922080307e-17,5.1203277009623785e-06,5.120327700972862e-06,0.00030721966205774274,8.782776262690616e-17
5655.0,1.0474917000612978e-17,5.144032921800223e-06,5.144032921810698e-06,0.0003086419753080134,8.775445945623616e-17
5662.5,1.0466173405045141e-17,5.167958656320283e-06,5.167958656330749e-06,0.00031007751937921695,8.768120928129783e-17
5670.0,1.0457436137836187e-17,5.1921079958358565e-06,5.192107995846314e-06,0.0003115264797501514,8.760801212269489e-17
5677.5,1.0448705201448346e-17,5.2164840897130765e-06,5.2164840897235255e-06,0.0003129890453827846,8.753486800105488e-17
5685.0,1.0439980598346703e-17,5.241090146740084e-06,5.241090146750524e-06,0.00031446540880440503,8.746177693702926e-17
5692.5,1.0431262330999179e-17,5.265929436535119e-06,5.2659294365455505e-06,0.00031595576619210714,8.738873895129322e-17
5700.0,1.0422550401876554e-17,5.291005290994869e-06,5.291005291005292e-06,0.00031746031745969215,8.731575406454593e-17
5707.5,1.0413844813452468e-17,5.316321105784377e-06,5.3163211057947905e-06,0.0003189792663470626,8.724282229751051e-17
5715.0,1.0405145568203406e-17,5.341880341869938e-06,5.341880341880343e-06,0.0003205128205121963,8.716994367093389e-17
5722.5,1.0396452668608735e-17,5.3676865270964205e-06,5.367686527106817e-06,0.00032206119162578523,8.70971182055872e-17
5730.0,1.0387766117150669e-17,5.39374325781054e-06,5.393743257820928e-06,0.00032362459546863236,8.702434592226536e-17
5737.5,1.0379085916314304e-17,5.420054200531626e-06,5.420054200542004e-06,0.00032520325203189756,8.695162684178747e-17
5745.0,1.0370412068587601e-17,5.446623093671546e-06,5.446623093681916e-06,0.00032679738562029273,8.687896098499662e-17
