,Height,Alpha,Beta
46,345.0,-0.06704061729687523,-3.3520308648437616
47,352.5,-0.06797335337002547,-3.3986676685012736
48,360.0,-0.06869319938119256,-3.434659969059628
49,367.5,-0.07083059579571419,-3.5415297897857094
50,375.0,-0.07198353830891191,-3.5991769154455957
51,382.5,-0.07227921881112301,-3.6139609405561504
52,390.0,-0.07399310655592156,-3.699655327796078
53,397.5,-0.07681817892103973,-3.8409089460519867
54,405.0,-0.07824935841923288,-3.9124679209616438
55,412.5,-0.07951157531305696,-3.975578765652848
56,420.0,-0.0816920039907844,-4.08460019953922
57,427.5,-0.08210789498123862,-4.105394749061931
58,435.0,-0.0832138599935046,-4.16069299967523
59,442.5,-0.08204480142032519,-4.10224007101626
60,450.0,-0.08315229158478057,-4.157614579239029
61,457.5,-0.08653506820049144,-4.326753410024572
62,465.0,-0.08818161744618856,-4.409080872309428
63,472.5,-0.08772883555943278,-4.386441777971639
64,480.0,-0.08902480500984766,-4.451240250492383
65,487.5,-0.08887054799170413,-4.443527399585206
66,495.0,-0.08884182055492837,-4.442091027746418
67,502.5,-0.09141204483483721,-4.57060224174186
68,510.0,-0.09289596889164775,-4.6447984445823876
69,517.5,-0.0952729116979764,-4.76364558489882
70,525.0,-0.09555031257139877,-4.7775156285699385
71,532.5,-0.09435191093551791,-4.717595546775896
72,540.0,-0.09527931589425392,-4.763965794712696
73,547.5,-0.0974451347960689,-4.872256739803444
74,555.0,-0.09997593418106121,-4.99879670905306
75,562.5,-0.10204763443248202,-5.102381721624101
76,570.0,-0.10051549562883731,-5.025774781441865
77,577.5,-0.10260380243231619,-5.13019012161581
78,585.0,-0.1037038107484817,-5.185190537424085
79,592.5,-0.10425988523823747,-5.212994261911874
80,600.0,-0.105501302871314,-5.2750651435657
81,607.5,-0.10796362837108271,-5.3981814185541355
82,615.0,-0.108363637238681,-5.41818186193405
83,622.5,-0.10779311634450114,-5.389655817225057
84,630.0,-0.11155381196819288,-5.577690598409644
85,637.5,-0.11297706445000494,-5.648853222500247
86,645.0,-0.1127417784444475,-5.637088922222374
87,652.5,-0.11485779812242315,-5.742889906121158
88,660.0,-0.11173488406219828,-5.586744203109914
89,667.5,-0.11483410077734942,-5.741705038867471
90,675.0,-0.117165195563596,-5.8582597781798
91,682.5,-0.11562795740750081,-5.781397870375041
92,690.0,-0.1197456881433502,-5.98728440716751
93,697.5,-0.12043834895159165,-6.0219174475795825
94,705.0,-0.12208358089589598,-6.104179044794799
95,712.5,-0.11989986461678137,-5.994993230839069
96,720.0,-0.12063179899354855,-6.031589949677428
97,727.5,-0.12696145067922787,-6.3480725339613935
98,735.0,-0.12821986274431446,-6.410993137215723
99,742.5,-0.12621751345607296,-6.310875672803648
100,750.0,-0.128204451899103,-6.410222594955151
101,757.5,-0.1277799762389739,-6.388998811948696
102,765.0,-0.12746853358100005,-6.373426679050002
103,772.5,-0.12810492656284264,-6.405246328142132
104,780.0,-0.1300911526023566,-6.50455763011783
105,787.5,-0.13284583218901522,-6.642291609450761
106,795.0,-0.1321541510477237,-6.607707552386185
107,802.5,-0.13525316379652266,-6.7626581898261335
108,810.0,-0.135659381649148,-6.7829690824574005
109,817.5,-0.1371685034420237,-6.858425172101184
110,825.0,-0.13462709413715312,-6.7313547068576565
111,832.5,-0.13761281063451092,-6.880640531725546
112,840.0,-0.13702457369919957,-6.851228684959978
113,847.5,-0.13687689208639858,-6.843844604319929
114,855.0,-0.14064410445677705,-7.0322052228388525
115,862.5,-0.1424977680946541,-7.124888404732705
116,870.0,-0.14545883382490452,-7.272941691245226
117,877.5,-0.14512152949225335,-7.256076474612668
118,885.0,-0.14215348570724953,-7.107674285362477
119,892.5,-0.14485061945572236,-7.242530972786118
120,900.0,-0.14415672331611146,-7.207836165805573
121,907.5,-0.1439543136272096,-7.19771568136048
122,915.0,-0.1443201123485463,-7.2160056174273155
123,922.5,-0.14633963732800917,-7.316981866400458
124,930.0,-0.14669959040478306,-7.334979520239153
125,937.5,-0.14534842346865662,-7.267421173432831
126,945.0,-0.14946699835140878,-7.473349917570439
127,952.5,-0.14883225023472355,-7.441612511736177
128,960.0,-0.15058393018552096,-7.529196509276048
129,967.5,-0.1545671848848153,-7.728359244240765
130,975.0,-0.15261729184651238,-7.630864592325619
131,982.5,-0.1589206068088415,-7.946030340442076
132,990.0,-0.15408366009079966,-7.704183004539983
133,997.5,-0.15359008390373977,-7.679504195186988
134,1005.0,-0.15831961321499463,-7.915980660749732
135,1012.5,-0.1553229672444989,-7.7661483622249445
136,1020.0,-0.1548350935791665,-7.741754678958325
137,1027.5,-0.1590619571776657,-7.953097858883284
138,1035.0,-0.15679818578196045,-7.839909289098022
139,1042.5,-0.15767736644903455,-7.883868322451727
140,1050.0,-0.15446859208250543,-7.723429604125272
141,1057.5,-0.15718652452914897,-7.859326226457449
142,1065.0,-0.1615078328959413,-8.075391644797065
143,1072.5,-0.16137018585166799,-8.0685092925834
144,1080.0,-0.15946566765558323,-7.973283382779162
145,1087.5,-0.15807194880611755,-7.9035974403058775
146,1095.0,-0.15997046046180702,-7.998523023090351
147,1102.5,-0.1623004383324979,-8.115021916624896
148,1110.0,-0.15869302743593372,-7.9346513717966864
149,1117.5,-0.15857493224459562,-7.928746612229781
150,1125.0,-0.15680112494024356,-7.840056247012178
151,1132.5,-0.14753736676409931,-7.376868338204965
152,1140.0,-0.12789939922768284,-6.394969961384142
153,1147.5,-0.09660374976399216,-4.830187488199608
