,00:02:11,00:02:11,00:02:11,00:02:11,00:02:11,00:02:11,00:02:11
58,5.295026,6.977519,5.272909,6.144879,5.091440,0.000000,135.520000
59,5.288806,6.777685,5.258090,6.594505,5.091420,0.000000,126.240000
60,5.276344,6.477935,5.258517,6.061615,5.093026,0.000000,134.240000
61,5.268660,6.777685,5.253272,5.495420,5.091359,0.000000,132.960000
62,5.248515,6.627810,5.246970,5.412157,5.091867,0.000000,144.320000
63,5.256159,6.278102,5.249532,5.545379,5.090911,0.000000,136.800000
64,5.239713,6.561199,5.239673,6.294754,5.089753,0.000000,135.040000
65,5.239815,5.961699,5.235241,5.195670,5.091704,0.000000,136.160000
66,5.236237,5.362198,5.234977,5.062448,5.092436,0.000000,134.880000
67,5.213307,4.829309,5.225544,4.346378,5.092395,0.000000,131.520000
68,5.220239,4.696087,5.225727,3.930058,5.092721,0.000000,136.800000
69,5.213896,4.662781,5.216336,4.146545,5.091928,0.000000,128.640000
70,5.208977,4.346378,5.205501,3.830142,5.091501,0.000000,130.080000
71,5.209343,4.279767,5.210075,3.796836,5.091135,0.000000,127.680000
72,5.207310,4.079933,5.209058,4.246461,5.091603,0.000000,124.960000
73,5.207310,3.796836,5.223939,3.696919,5.091359,0.000000,132.960000
74,5.198833,3.430475,5.206334,3.763530,5.090688,0.000000,129.760000
75,5.177204,3.846794,5.201151,3.696919,5.091785,0.000000,139.040000
76,5.170760,3.846794,5.192369,3.913405,5.092639,0.000000,130.400000
77,5.172204,4.063281,5.183059,3.763530,5.091826,0.000000,135.520000
78,5.170110,3.913405,5.187592,3.297252,5.090891,0.000000,135.200000
79,5.157710,3.863447,5.185315,3.463780,5.092578,0.000000,133.120000
80,5.164316,3.347211,5.185844,3.646961,5.092436,0.000000,129.920000
81,5.158828,3.363863,5.182733,3.513739,5.092334,0.000000,131.360000
82,5.144679,2.797669,5.181168,3.080766,5.093493,0.000000,133.120000
83,5.150127,3.064113,5.179786,3.164030,5.091460,0.000000,132.160000
84,5.154864,3.097419,5.179115,3.097419,5.091928,0.000000,131.680000
85,5.153156,2.647794,5.182916,2.980849,5.091582,0.000000,129.600000
86,5.156144,2.747710,5.182611,3.247294,5.091785,0.000000,129.280000
87,5.157059,2.781016,5.174399,3.130724,5.091907,0.000000,131.040000
88,5.152343,2.464613,5.179217,3.064113,5.092111,0.000000,133.760000
89,5.143561,2.564530,5.181087,2.614488,5.092334,0.000000,137.280000
90,5.142321,2.797669,5.173464,2.781016,5.091968,0.000000,133.120000
91,5.129210,2.364696,5.169093,2.864280,5.091887,0.000000,138.880000
92,5.133580,2.398002,5.172000,2.664446,5.091785,0.000000,128.160000
93,5.133031,2.364696,5.176879,2.797669,5.091501,0.000000,127.840000
94,5.128640,2.481266,5.170760,3.114072,5.090789,0.000000,132.640000
95,5.130206,2.214821,5.171431,2.497918,5.091968,0.000000,139.520000
96,5.126465,2.248127,5.176493,2.314738,5.092029,0.000000,136.000000
97,5.125185,2.381349,5.172122,2.514571,5.092050,0.000000,135.040000
98,5.133092,2.198168,5.165922,2.497918,5.092253,0.000000,135.200000
99,5.129860,1.948376,5.166613,2.464613,5.092111,0.000000,137.760000
100,5.119716,1.798501,5.165129,2.431307,5.091928,0.000000,131.360000
101,5.126181,2.164863,5.167731,2.481266,5.091033,0.000000,128.320000
102,5.126933,1.765196,5.168992,2.231474,5.091440,0.000000,134.560000
103,5.121200,1.465445,5.169744,2.031640,5.091582,0.000000,125.440000
104,5.116261,1.532057,5.162202,1.898418,5.092192,0.000000,130.720000
105,5.123213,1.765196,5.157893,2.181515,5.092050,0.000000,129.280000
106,5.120794,1.748543,5.164723,1.931724,5.090545,0.000000,126.560000
107,5.114777,1.565362,5.164194,2.198168,5.092558,0.000000,131.840000
108,5.114187,1.448793,5.157547,1.931724,5.092355,0.000000,127.040000
109,5.112398,1.548709,5.161694,1.865112,5.092212,0.000000,130.240000
110,5.117013,1.515404,5.159905,1.998335,5.092111,0.000000,135.360000
111,5.108231,1.132390,5.157384,1.681932,5.091521,0.000000,133.600000
112,5.104816,1.398834,5.154172,1.615321,5.092029,0.000000,139.520000
113,5.106279,1.515404,5.157567,1.831807,5.093839,0.000000,135.360000
114,5.110345,1.448793,5.160210,1.715237,5.091745,0.000000,135.040000
115,5.109959,1.365529,5.155575,1.598668,5.091379,0.000000,128.640000
116,5.102844,1.199001,5.155534,1.781848,5.092456,0.000000,132.960000
117,5.105405,1.298918,5.153786,1.515404,5.091318,0.000000,134.240000
118,5.106523,1.232306,5.155128,1.765196,5.092192,0.000000,137.440000
