,00:02:05,00:03:06,00:04:07,00:05:07
487.5,3020546.326761619,32544.4882233885,2499254.3619565205,933757.8743103442
495.0,3156760.5117616197,38605.76322338841,2584577.8969565206,966069.779310344
502.5,3087012.161761619,49990.273223388416,2444536.656956521,1055013.2743103441
510.0,2898424.421761619,84993.7582233884,2314873.5119565204,1153653.3693103443
517.5,2669941.1417616196,160077.2382233885,2070061.3669565206,1515582.549310344
525.0,2636724.84176162,272209.03822338843,1861064.3569565208,1627001.694310344
532.5,2398562.126761619,355752.6132233885,1694354.6369565206,1819904.089310344
540.0,2031949.656761619,420067.7332233884,1555846.9619565208,2038558.0943103444
547.5,1692275.0867616192,503776.82322338846,1574990.5969565208,2249023.2243103446
555.0,1389387.4817616192,511596.58822338836,1742533.2769565207,2501210.5243103444
562.5,1026109.2917616193,414020.9032233884,1702057.0569565205,2485149.1093103443
570.0,804249.9517616194,344151.3682233884,1693481.9619565208,2624740.329310344
577.5,463344.3067616193,303537.20322338835,1376632.2169565207,2977613.864310344
585.0,211315.98676161934,318547.45322338835,1058660.5069565207,3038914.9743103446
592.5,142766.7117616192,412565.2832233884,803723.0869565208,2812372.1443103445
600.0,145054.52176161925,567066.7632233885,605605.9469565207,2566239.6193103446
607.5,110500.85676161922,716685.5182233884,441785.36695652077,2227953.9243103443
615.0,66401.99676161935,610508.5632233885,353655.3119565207,1724105.9143103443
622.5,69427.21676161932,475487.4682233885,300094.71195652074,1380915.6693103442
630.0,71059.66676161927,273823.8682233884,260324.25195652078,980991.8893103441
637.5,105057.23176161922,137149.7582233884,206181.36195652065,679944.319310344
645.0,166942.64176161936,144534.07322338846,315298.70195652073,484059.9393103442
652.5,247764.8167616193,139084.18822338845,420323.6569565208,128831.01431034418
660.0,339704.86176161934,82023.14322338841,377837.58695652074,115150.55431034422
667.5,390770.1667616193,14920.628223388398,298554.3869565208,90851.0343103442
675.0,348819.9817616192,9987.383223388402,287737.4319565207,78061.16431034432
682.5,255330.75176161923,6380.03822338843,256008.57695652073,55196.63431034429
690.0,170221.12676161923,2691.318223388458,191246.52695652068,48932.37431034428
697.5,166770.91176161927,3293.2682233884116,166623.84695652075,46344.19431034423
705.0,143386.85176161933,1813.388223388407,139056.95695652073,43201.42431034433
712.5,123745.49676161935,2832.4632233884186,118234.34195652074,43444.9093103442
720.0,151214.8267616193,2268.0732233884046,161280.01695652067,41590.614310344274
727.5,160329.8067616193,1866.7982233884395,201306.68695652072,40260.65431034431
735.0,184773.3217616193,1945.6782233884442,233301.37195652066,40667.77431034419
742.5,155297.98176161922,1575.5982233884279,320512.2969565207,38108.58931034425
750.0,107550.3167616193,1801.708223388414,414706.97695652075,41030.29931034433
757.5,77250.52176161925,1751.5482233884395,386152.6619565207,41981.354310344264
765.0,49574.181761619286,2067.0032233883976,278630.84195652074,34901.05931034422
772.5,32806.316761619295,1179.7582233884023,101765.1469565208,33036.2843103442
780.0,24573.63176161924,1042.3032233884442,57699.33695652074,31926.889310344297
787.5,13906.991761619283,1619.5582233884488,27646.071956520726,34444.93431034422
795.0,8708.471761619323,862.9382233884535,9124.06695652072,46631.219310344255
802.5,6089.746761619288,1033.6782233884442,8107.971956520749,124653.81931034423
810.0,2942.0317616192624,1878.8232233884046,3936.506956520723,319592.58931034425
817.5,2729.2417616192834,2766.763223388407,5790.176956520707,548383.3343103442
825.0,1630.5867616193136,2893.833223388414,5776.481956520758,691553.2543103441
832.5,1302.9367616192903,3120.4482233884046,4811.601956520753,725931.2743103441
840.0,1169.926761619281,4259.103223388374,4629.5569565207115,703335.6893103442
847.5,838.2417616192834,7229.388223388407,4064.106956520758,583401.4043103443
855.0,750.1867616192903,9638.708223388414,2857.981956520758,436860.22431034426
862.5,685.551761619281,9095.968223388423,3097.1269565207185,291826.09931034426
870.0,251.621761619288,7189.458223388414,3012.971956520749,203207.17931034422
877.5,425.49176161928335,8259.073223388405,3896.3669565207674,163062.87431034428
885.0,512.2817616192624,9719.273223388416,2770.546956520702,61926.61931034428
892.5,72.47676161926938,11349.978223388374,2598.271956520737,43991.80931034434
900.0,373.00176161929267,11417.188223388453,3589.5569565207115,32213.24431034428
907.5,565.3217616192997,5100.268223388412,3708.706956520735,17255.414310344262
915.0,339.40176161925774,3181.0732233884046,4078.0719565207255,16856.404310344253
922.5,533.2417616192834,1723.6482233884162,2604.421956520702,12955.529310344253
930.0,451.86676161928335,-246.88677661161637,3603.551956520707,11771.664310344262
937.5,33.65176161925774,1134.0282233884209,4218.906956520688,11922.124310344283
945.0,78.00676161923911,527.6532233884209,2799.3669565207674,13113.369310344278
952.5,527.9517616193043,547.2182233884232,2770.596956520749,12221.009310344292
960.0,749.5117616192438,710.0582233884488,3931.3069565207115,11379.309310344222
967.5,573.6117616192787,705.4582233884139,3046.381956520723,11214.429310344218
975.0,264.3067616192857,239.5032233883976,3246.6419565207325,11275.239310344274
982.5,611.956761619309,151.14322338841157,3477.096956520749,11486.674310344213
990.0,206.69676161929965,628.3382233884186,3474.4319565207115,10443.814310344227
997.5,294.6667616192717,527.2932233884349,3223.606956520758,10797.414310344262
1005.0,6.55676161928568,171.6182233883883,2948.526956520742,9462.72431034426
1012.5,132.7367616192787,616.7232233884279,2467.151956520742,8980.159310344257
1020.0,-264.84823838074226,260.9932233883883,2674.561956520716,9087.904310344253
1027.5,82.941761619295,238.89322338841157,2606.716956520744,8560.949310344236
1035.0,23.951761619304307,794.2382233883836,2311.026956520742,10017.184310344222
1042.5,-339.3182383807143,290.5582233884488,2856.3769565207185,9803.179310344218
