,00:02:05,00:03:06,00:04:07,00:05:07
1072.5,499229.19499999995,499439.77,504221.61,510256.995
1080.0,499286.385,499778.28,503742.02,509362.83999999997
1087.5,499078.125,500143.995,503436.37,510182.295
1095.0,499157.915,500765.01,503336.815,510439.27
1102.5,499437.94,500543.43,504383.67,509799.49
1110.0,499122.015,499048.845,504681.03500000003,510566.765
1117.5,499614.83999999997,499540.265,503239.81,510668.55
1125.0,499195.95999999996,500036.77,503518.485,509807.885
1132.5,498728.375,500030.655,503506.38,509014.19499999995
1140.0,499123.9,499930.98,503923.015,509038.875
1147.5,498998.33999999997,499559.385,504155.21499999997,510033.235
1155.0,499738.1,499523.485,504274.48,509675.015
1162.5,499570.105,498617.89,505035.655,509042.65
1170.0,499346.245,499541.885,503383.81,507743.85
1177.5,499568.81999999995,500038.35,503471.25,505974.83499999996
1185.0,499413.45999999996,499689.29,504365.89,507368.905
1192.5,499429.32999999996,499996.405,504118.92,506868.33999999997
1200.0,499250.19499999995,499616.055,503580.605,506930.44
1207.5,499279.35,499733.845,504577.06999999995,507129.16000000003
1215.0,499071.82499999995,500227.8,503494.32499999995,506943.905
1222.5,499884.025,500034.06,503195.79,506283.025
1230.0,500297.6,499881.37,503595.5,505736.595
1237.5,500059.735,500317.38,502752.105,507337.47
1245.0,499358.685,499361.95999999996,503805.22,506839.56
1252.5,498488.735,499744.005,502933.21499999997,505869.82499999995
1260.0,499807.57999999996,500357.115,503418.505,506735.88
1267.5,499142.53,500106.305,503349.065,505365.425
1275.0,499106.805,499943.755,502624.345,505493.305
1282.5,499298.19999999995,499770.69,503032.96499999997,506542.69499999995
1290.0,498847.31,499561.48,503339.32999999996,506159.69
1297.5,499635.70999999996,500881.475,503344.055,506491.735
1305.0,499736.925,500329.13,503098.12,504745.12
1312.5,498895.14,499435.425,503422.77,505802.23
1320.0,499168.665,500281.725,503006.18,506089.615
1327.5,499748.94,500025.425,502582.69499999995,505497.1
1335.0,499075.765,500154.895,503038.525,506243.19999999995
1342.5,498779.96499999997,499743.69,502808.45999999996,505616.75
1350.0,499527.47,499814.775,503818.56999999995,506016.39
1357.5,499070.22,499622.17,503365.06,506221.0
1365.0,499277.03500000003,499547.20999999996,502501.615,506268.35
1372.5,499516.105,499751.27,503392.20499999996,505162.49
1380.0,499578.14,500134.48,504008.775,505048.27
1387.5,498909.91000000003,500164.5,502258.47,505808.82999999996
1395.0,499578.77,499963.20999999996,502970.365,506658.155
1402.5,499558.795,499832.435,503808.45499999996,529827.2749999999
1410.0,499138.615,498792.92,503624.57499999995,602040.905
1417.5,499021.345,499830.555,504051.78,743802.565
1425.0,499487.63,499627.79,504230.99,788798.245
1432.5,499119.595,499121.32499999995,504869.015,809220.38
1440.0,499130.69999999995,499655.545,504132.15,775361.19
1447.5,498724.45499999996,499525.655,503456.165,774692.3049999999
1455.0,499520.57499999995,499832.44499999995,503285.19,794367.605
1462.5,499490.225,499738.69999999995,502879.675,814704.1599999999
1470.0,499368.29,500043.81,503098.46499999997,804849.215
1477.5,499714.31,499267.45499999996,502719.83499999996,788020.66
1485.0,499336.125,499859.69499999995,503223.005,703416.97
1492.5,499084.56,499345.41000000003,504133.25,684925.05
