,00355.p,00355.p,00355.s,00355.s,00387.o,00387.o,00355.p
24,53187.012176,1568700.562032,36177.356475,1306934.325562,277.859881,0.000000,14904.000000
25,54328.654954,1518287.260616,34817.375291,1335934.221482,164.529640,0.000000,24714.880000
26,54031.419206,1525010.095754,34685.589666,1291189.009159,368.780665,0.000000,24387.360000
27,51552.352206,1433045.795171,36027.106318,1240965.861782,115.919026,0.000000,14376.960000
28,51913.498014,1423657.056619,36305.679715,1252728.247294,247.089472,0.000000,23049.600000
29,51675.648812,1491725.645296,35438.569360,1318432.556203,323.026405,0.000000,24800.000000
30,48534.824775,1510572.439634,32147.369385,1279113.759367,240.904517,0.000000,29547.360000
31,49872.441097,1448812.656120,30430.537215,1251247.293922,401.947758,0.000000,22064.640000
32,48943.979738,1468234.596170,32456.944169,1252472.522898,443.251687,0.000000,16629.280000
33,47840.802830,1387588.676103,30479.006041,1204579.933389,370.109361,0.000000,32192.640000
34,47024.497382,1524463.988343,29684.754434,1269442.131557,404.697771,0.000000,8712.000000
35,44221.059274,1415900.083264,29569.157863,1251397.169026,491.265417,0.000000,29603.840000
36,42530.344789,1497353.455454,28097.222016,1123015.091590,430.950384,0.000000,8317.440000
37,41296.957939,1490481.681932,28133.937254,1115497.918401,530.829005,0.000000,40368.000000
38,44456.767925,1428195.462115,29745.315310,1314070.253955,525.409022,0.000000,28961.920000
39,43593.127960,1470274.771024,29576.640641,1271315.570358,473.390908,0.000000,31680.000000
40,41118.395803,1436039.550375,29128.366894,1300103.767694,642.474934,0.000000,39889.120000
41,41418.287800,1411493.755204,27590.214636,1199049.542048,483.499062,0.000000,51048.320000
42,39483.889056,1479700.041632,26721.969973,1171119.379684,612.681037,0.000000,13335.840000
43,42058.701082,1457985.012490,27469.296420,1235450.457952,599.500416,0.000000,34734.080000
44,41948.466178,1333724.500416,26324.679512,1151673.084929,415.474846,0.000000,63544.000000
45,41475.917997,1203703.164030,23913.279969,1154738.967527,308.815530,0.000000,45302.400000
46,39867.819374,1303529.350541,24977.057947,1093282.681099,672.419768,0.000000,45249.120000
47,40305.407522,1061190.674438,27013.029913,1009213.988343,682.067109,0.000000,55488.000000
48,41292.705425,1271020.503747,27132.873281,1021276.124063,511.735572,0.000000,33517.440000
49,38576.213446,1202560.366361,26955.724457,1018963.363863,403.411382,0.000000,75264.000000
50,38423.911928,1397712.739384,24981.883332,1071894.567027,507.246362,0.000000,42747.680000
51,40397.121865,1335387.177352,25483.085385,1078021.648626,444.575809,0.000000,72990.720000
