,0,1,2,3,4,5,6
49,45933.611369,-181296.580766,49749.852174,-266031.281016,13520.062510,-1349743.500000,608265.360000
50,46047.625331,-30532.181515,48529.725920,-250848.584513,14004.435106,-1389150.000000,592312.000000
51,48231.529561,-130572.813072,49724.447831,-281676.893006,14332.485750,-1429123.500000,637585.680000
52,46961.915578,-231395.890092,50524.449729,-168268.496253,14970.240347,-1469664.000000,643230.720000
53,43309.287170,-247851.745629,50322.881061,-382629.743131,15742.389894,-1510771.500000,679127.760000
54,42863.439603,-347019.272273,51210.108008,-341889.796836,15970.010645,-1552446.000000,672452.800000
55,42781.941766,-251080.609908,49445.433351,-198390.143630,16327.365618,-1594687.500000,681750.000000
56,40885.676972,-333567.606994,48566.830942,-371441.045795,17102.499460,-1637496.000000,700051.200000
57,42483.940367,-259096.312656,50477.032646,-320188.215237,17379.257832,-1680871.500000,734721.680000
58,42718.029481,-357053.800167,50099.181683,-482431.818485,17617.937924,-1724814.000000,739327.680000
59,47609.765959,-413036.239384,52127.050673,-313653.121149,17694.351233,-1769323.500000,762400.560000
60,47783.531953,-537464.113239,51984.133014,-519479.100749,18657.413093,-1814400.000000,788992.000000
61,43381.430493,-655463.566611,55895.128083,-532547.246878,19051.741474,-1860043.500000,815138.640000
62,42583.170502,-451300.211490,54169.890939,-564673.233972,19032.988219,-1906254.000000,859058.240000
63,45754.980449,-617248.090341,55144.686821,-752762.349292,19744.233433,-1953031.500000,863605.040000
64,45573.235419,-552897.232306,60523.661252,-665258.597835,19972.749089,-2000376.000000,915022.080000
65,48226.189408,-843619.514988,58817.396209,-599978.798918,20409.813980,-2048287.500000,904570.000000
66,50695.347620,-905154.009992,59820.453631,-808162.336386,21146.579869,-2096766.000000,884561.600000
67,47891.291263,-897966.370941,59757.050485,-727805.671524,22030.686921,-2145811.500000,942794.640000
68,47324.986847,-875204.183181,62502.329296,-795410.677769,22203.562968,-2195424.000000,972026.880000
69,45155.088983,-1006504.519983,63061.405380,-1006504.519983,23000.890750,-2245603.500000,980302.960000
70,46823.850486,-1089949.084097,62356.217821,-892675.978351,22909.376748,-2296350.000000,981720.000000
71,51354.739094,-1060005.922981,65435.085016,-1114304.736470,23733.778061,-2347663.500000,1039431.120000
72,51821.819418,-1194428.263114,62767.879586,-1035860.402998,23958.240971,-2399544.000000,1097611.520000
73,49898.569484,-1301552.074521,66533.134927,-1171925.097002,24887.382796,-2451991.500000,1052410.320000
74,47441.173335,-1197263.285595,68254.547851,-1155879.022481,25809.408851,-2505006.000000,1117577.280000
75,45927.604270,-1442673.678185,66577.310168,-1121425.759784,26516.261544,-2558587.500000,1105382.000000
76,50724.917985,-1576799.280600,71210.971274,-1222854.234804,26392.460658,-2612736.000000,1196605.440000
77,49075.978475,-1468802.873855,69711.319131,-1301344.609908,27386.277347,-2667451.500000,1144887.120000
78,49214.529830,-1508239.828476,70288.516332,-1598202.359700,28041.707540,-2722734.000000,1174761.280000
79,50302.481475,-1575900.423397,71584.603322,-1511634.915487,28381.559762,-2778583.500000,1162790.640000
80,50180.369305,-1570428.809326,69356.131446,-1776507.077435,30009.800183,-2835000.000000,1228000.000000
81,48004.614153,-1716660.123647,72254.896993,-1831325.818901,29003.310282,-2891983.500000,1301647.600000
82,49304.905506,-1643619.761865,75548.627169,-1370742.159867,29747.027712,-2949534.000000,1302580.800000
